,mol_num,num_ones,y_train
0,1.0,771.0,-1.0
1,2.0,724.0,-1.0
2,3.0,719.0,-1.0
3,4.0,735.0,-1.0
4,5.0,799.0,-1.0
5,6.0,804.0,-1.0
6,7.0,768.0,-1.0
7,8.0,698.0,-1.0
8,9.0,771.0,-1.0
9,10.0,736.0,-1.0
10,11.0,1650.0,-1.0
11,12.0,875.0,-1.0
12,13.0,1563.0,-1.0
13,14.0,786.0,-1.0
14,15.0,722.0,-1.0
15,16.0,794.0,-1.0
16,17.0,709.0,-1.0
17,18.0,802.0,-1.0
18,19.0,810.0,1.0
19,20.0,791.0,-1.0
20,21.0,965.0,-1.0
21,22.0,889.0,-1.0
22,23.0,835.0,-1.0
23,24.0,859.0,-1.0
24,25.0,796.0,-1.0
25,26.0,726.0,-1.0
26,27.0,916.0,-1.0
27,28.0,987.0,1.0
28,29.0,796.0,-1.0
29,30.0,2103.0,-1.0
30,31.0,1115.0,-1.0
31,32.0,1159.0,1.0
32,33.0,843.0,-1.0
33,34.0,931.0,1.0
34,35.0,992.0,-1.0
35,36.0,1244.0,-1.0
36,37.0,863.0,-1.0
37,38.0,1383.0,-1.0
38,39.0,803.0,-1.0
39,40.0,1175.0,-1.0
40,41.0,793.0,-1.0
41,42.0,788.0,-1.0
42,43.0,802.0,-1.0
43,44.0,827.0,-1.0
44,45.0,732.0,-1.0
45,46.0,720.0,-1.0
46,47.0,783.0,-1.0
47,48.0,777.0,-1.0
48,49.0,893.0,-1.0
49,50.0,808.0,-1.0
50,51.0,1032.0,-1.0
51,52.0,922.0,-1.0
52,53.0,876.0,-1.0
53,54.0,791.0,-1.0
54,55.0,915.0,-1.0
55,56.0,744.0,-1.0
56,57.0,833.0,-1.0
57,58.0,1567.0,-1.0
58,59.0,1359.0,-1.0
59,60.0,804.0,1.0
60,61.0,1985.0,-1.0
61,62.0,1815.0,1.0
62,63.0,1935.0,-1.0
63,64.0,777.0,-1.0
64,65.0,794.0,-1.0
65,66.0,788.0,-1.0
66,67.0,834.0,-1.0
67,68.0,785.0,-1.0
68,69.0,792.0,-1.0
69,70.0,790.0,-1.0
70,71.0,819.0,-1.0
71,72.0,994.0,1.0
72,73.0,873.0,-1.0
73,74.0,756.0,-1.0
74,75.0,803.0,-1.0
75,76.0,923.0,-1.0
76,77.0,902.0,-1.0
77,78.0,960.0,1.0
78,79.0,1372.0,-1.0
79,80.0,842.0,-1.0
80,81.0,861.0,-1.0
81,82.0,1969.0,-1.0
82,83.0,895.0,-1.0
83,84.0,778.0,-1.0
84,85.0,799.0,-1.0
85,86.0,875.0,-1.0
86,87.0,883.0,-1.0
87,88.0,853.0,-1.0
88,89.0,1005.0,-1.0
89,90.0,1178.0,-1.0
90,91.0,846.0,-1.0
91,92.0,852.0,-1.0
92,93.0,854.0,-1.0
93,94.0,841.0,-1.0
94,95.0,1069.0,-1.0
95,96.0,1306.0,-1.0
96,97.0,845.0,-1.0
97,98.0,927.0,-1.0
98,99.0,877.0,-1.0
99,100.0,821.0,-1.0
100,101.0,1707.0,1.0
101,102.0,843.0,-1.0
102,103.0,850.0,-1.0
103,104.0,888.0,-1.0
104,105.0,1374.0,-1.0
105,106.0,838.0,-1.0
106,107.0,875.0,-1.0
107,108.0,1197.0,1.0
108,109.0,3108.0,-1.0
109,110.0,953.0,-1.0
110,111.0,959.0,-1.0
111,112.0,834.0,-1.0
112,113.0,1289.0,-1.0
113,114.0,846.0,-1.0
114,115.0,1137.0,-1.0
115,116.0,845.0,-1.0
116,117.0,875.0,-1.0
117,118.0,865.0,-1.0
118,119.0,824.0,-1.0
119,120.0,885.0,-1.0
120,121.0,859.0,-1.0
121,122.0,884.0,-1.0
122,123.0,1290.0,-1.0
123,124.0,938.0,-1.0
124,125.0,939.0,-1.0
125,126.0,1033.0,-1.0
126,127.0,918.0,-1.0
127,128.0,838.0,-1.0
128,129.0,980.0,-1.0
129,130.0,830.0,-1.0
130,131.0,965.0,-1.0
131,132.0,898.0,-1.0
132,133.0,1185.0,-1.0
133,134.0,919.0,1.0
134,135.0,885.0,-1.0
135,136.0,917.0,-1.0
136,137.0,873.0,-1.0
137,138.0,3085.0,-1.0
138,139.0,903.0,-1.0
139,140.0,871.0,-1.0
140,141.0,855.0,-1.0
141,142.0,911.0,-1.0
142,143.0,1618.0,-1.0
143,144.0,1300.0,-1.0
144,145.0,906.0,-1.0
145,146.0,853.0,-1.0
146,147.0,1024.0,-1.0
147,148.0,1264.0,-1.0
148,149.0,856.0,-1.0
149,150.0,822.0,-1.0
150,151.0,899.0,-1.0
151,152.0,964.0,-1.0
152,153.0,892.0,-1.0
153,154.0,909.0,-1.0
154,155.0,865.0,-1.0
155,156.0,922.0,-1.0
156,157.0,869.0,-1.0
157,158.0,2017.0,-1.0
158,159.0,1558.0,-1.0
159,160.0,887.0,-1.0
160,161.0,930.0,-1.0
161,162.0,958.0,-1.0
162,163.0,946.0,-1.0
163,164.0,926.0,1.0
164,165.0,1002.0,-1.0
165,166.0,927.0,1.0
166,167.0,920.0,-1.0
167,168.0,1529.0,-1.0
168,169.0,914.0,-1.0
169,170.0,887.0,-1.0
170,171.0,963.0,-1.0
171,172.0,952.0,-1.0
172,173.0,931.0,-1.0
173,174.0,949.0,-1.0
174,175.0,1266.0,-1.0
175,176.0,1035.0,-1.0
176,177.0,970.0,-1.0
177,178.0,1214.0,-1.0
178,179.0,1462.0,1.0
179,180.0,962.0,-1.0
180,181.0,1052.0,-1.0
181,182.0,903.0,-1.0
182,183.0,1087.0,-1.0
183,184.0,890.0,-1.0
184,185.0,945.0,-1.0
185,186.0,882.0,-1.0
186,187.0,933.0,-1.0
187,188.0,950.0,-1.0
188,189.0,1291.0,-1.0
189,190.0,931.0,-1.0
190,191.0,976.0,-1.0
191,192.0,907.0,-1.0
192,193.0,943.0,-1.0
193,194.0,913.0,-1.0
194,195.0,983.0,-1.0
195,196.0,972.0,-1.0
196,197.0,927.0,-1.0
197,198.0,1391.0,-1.0
198,199.0,942.0,-1.0
199,200.0,1043.0,-1.0
200,201.0,1021.0,-1.0
201,202.0,1000.0,-1.0
202,203.0,1021.0,-1.0
203,204.0,1120.0,1.0
204,205.0,1134.0,-1.0
205,206.0,943.0,-1.0
206,207.0,1158.0,-1.0
207,208.0,948.0,-1.0
208,209.0,970.0,-1.0
209,210.0,973.0,-1.0
210,211.0,1237.0,-1.0
211,212.0,899.0,1.0
212,213.0,957.0,-1.0
213,214.0,1043.0,-1.0
214,215.0,1086.0,-1.0
215,216.0,1281.0,-1.0
216,217.0,1011.0,-1.0
217,218.0,1024.0,-1.0
218,219.0,943.0,-1.0
219,220.0,997.0,-1.0
220,221.0,1019.0,-1.0
221,222.0,1600.0,-1.0
222,223.0,1041.0,-1.0
223,224.0,994.0,-1.0
224,225.0,1044.0,-1.0
225,226.0,1265.0,-1.0
226,227.0,949.0,-1.0
227,228.0,1093.0,-1.0
228,229.0,1751.0,-1.0
229,230.0,975.0,-1.0
230,231.0,977.0,1.0
231,232.0,1316.0,-1.0
232,233.0,1497.0,-1.0
233,234.0,1074.0,1.0
234,235.0,1033.0,-1.0
235,236.0,1044.0,-1.0
236,237.0,923.0,-1.0
237,238.0,1160.0,-1.0
238,239.0,1045.0,-1.0
239,240.0,961.0,1.0
240,241.0,1325.0,-1.0
241,242.0,1007.0,1.0
242,243.0,964.0,-1.0
243,244.0,966.0,-1.0
244,245.0,1025.0,-1.0
245,246.0,1106.0,-1.0
246,247.0,1037.0,-1.0
247,248.0,1093.0,-1.0
248,249.0,913.0,-1.0
249,250.0,1021.0,-1.0
250,251.0,1064.0,-1.0
251,252.0,1048.0,-1.0
252,253.0,1036.0,-1.0
253,254.0,1068.0,1.0
254,255.0,1097.0,-1.0
255,256.0,1581.0,-1.0
256,257.0,1060.0,-1.0
257,258.0,1075.0,-1.0
258,259.0,1123.0,-1.0
259,260.0,1093.0,-1.0
260,261.0,979.0,-1.0
261,262.0,1031.0,-1.0
262,263.0,1028.0,-1.0
263,264.0,1111.0,1.0
264,265.0,1053.0,-1.0
265,266.0,1120.0,-1.0
266,267.0,1327.0,1.0
267,268.0,980.0,-1.0
268,269.0,1003.0,-1.0
269,270.0,1549.0,1.0
270,271.0,1214.0,-1.0
271,272.0,1817.0,1.0
272,273.0,1026.0,-1.0
273,274.0,1059.0,-1.0
274,275.0,1122.0,-1.0
275,276.0,1054.0,-1.0
276,277.0,1056.0,-1.0
277,278.0,1050.0,-1.0
278,279.0,1083.0,-1.0
279,280.0,1158.0,-1.0
280,281.0,1003.0,-1.0
281,282.0,2720.0,1.0
282,283.0,1071.0,-1.0
283,284.0,1051.0,-1.0
284,285.0,1051.0,1.0
285,286.0,4575.0,1.0
286,287.0,1028.0,-1.0
287,288.0,1055.0,-1.0
288,289.0,1433.0,-1.0
289,290.0,1217.0,-1.0
290,291.0,1727.0,-1.0
291,292.0,1028.0,-1.0
292,293.0,1213.0,-1.0
293,294.0,1040.0,1.0
294,295.0,1286.0,-1.0
295,296.0,1061.0,-1.0
296,297.0,1053.0,1.0
297,298.0,5822.0,1.0
298,299.0,1059.0,-1.0
299,300.0,1157.0,1.0
300,301.0,1053.0,-1.0
301,302.0,1069.0,-1.0
302,303.0,1053.0,-1.0
303,304.0,1436.0,-1.0
304,305.0,1041.0,-1.0
305,306.0,1019.0,-1.0
306,307.0,1055.0,-1.0
307,308.0,1075.0,-1.0
308,309.0,1255.0,-1.0
309,310.0,1651.0,-1.0
310,311.0,1042.0,-1.0
311,312.0,1014.0,-1.0
312,313.0,1175.0,-1.0
313,314.0,1034.0,-1.0
314,315.0,1164.0,1.0
315,316.0,1025.0,-1.0
316,317.0,1032.0,-1.0
317,318.0,1060.0,-1.0
318,319.0,1427.0,-1.0
319,320.0,1280.0,-1.0
320,321.0,1560.0,-1.0
321,322.0,1218.0,-1.0
322,323.0,1083.0,-1.0
323,324.0,1221.0,-1.0
324,325.0,1845.0,-1.0
325,326.0,1118.0,-1.0
326,327.0,1054.0,-1.0
327,328.0,1019.0,-1.0
328,329.0,1144.0,-1.0
329,330.0,1141.0,1.0
330,331.0,1052.0,-1.0
331,332.0,1159.0,1.0
332,333.0,1051.0,-1.0
333,334.0,1152.0,-1.0
334,335.0,1110.0,-1.0
335,336.0,1577.0,-1.0
336,337.0,1155.0,1.0
337,338.0,1081.0,-1.0
338,339.0,1255.0,1.0
339,340.0,1111.0,-1.0
340,341.0,1119.0,-1.0
341,342.0,1096.0,-1.0
342,343.0,1119.0,-1.0
343,344.0,1235.0,-1.0
344,345.0,1260.0,-1.0
345,346.0,1141.0,-1.0
346,347.0,1121.0,-1.0
347,348.0,1097.0,-1.0
348,349.0,1283.0,-1.0
349,350.0,1222.0,1.0
350,351.0,1094.0,-1.0
351,352.0,1070.0,-1.0
352,353.0,1515.0,-1.0
353,354.0,1118.0,-1.0
354,355.0,1138.0,-1.0
355,356.0,1085.0,-1.0
356,357.0,1513.0,-1.0
357,358.0,1104.0,-1.0
358,359.0,1118.0,-1.0
359,360.0,1116.0,-1.0
360,361.0,1127.0,-1.0
361,362.0,2405.0,1.0
362,363.0,1121.0,-1.0
363,364.0,1285.0,-1.0
364,365.0,1260.0,-1.0
365,366.0,1142.0,-1.0
366,367.0,1114.0,-1.0
367,368.0,1243.0,-1.0
368,369.0,1119.0,-1.0
369,370.0,1094.0,-1.0
370,371.0,1117.0,-1.0
371,372.0,1105.0,-1.0
372,373.0,1132.0,-1.0
373,374.0,1140.0,-1.0
374,375.0,1424.0,1.0
375,376.0,1121.0,-1.0
376,377.0,1143.0,-1.0
377,378.0,1114.0,-1.0
378,379.0,1149.0,1.0
379,380.0,1216.0,1.0
380,381.0,1243.0,1.0
381,382.0,1177.0,-1.0
382,383.0,1160.0,-1.0
383,384.0,1598.0,-1.0
384,385.0,1144.0,-1.0
385,386.0,1109.0,-1.0
386,387.0,1171.0,-1.0
387,388.0,1130.0,-1.0
388,389.0,1171.0,-1.0
389,390.0,1369.0,-1.0
390,391.0,1163.0,-1.0
391,392.0,1183.0,-1.0
392,393.0,1155.0,-1.0
393,394.0,1125.0,-1.0
394,395.0,1105.0,-1.0
395,396.0,1156.0,-1.0
396,397.0,1377.0,-1.0
397,398.0,1209.0,-1.0
398,399.0,1122.0,-1.0
399,400.0,2078.0,-1.0
400,401.0,1257.0,-1.0
401,402.0,1226.0,-1.0
402,403.0,1193.0,-1.0
403,404.0,1368.0,-1.0
404,405.0,1197.0,1.0
405,406.0,2285.0,-1.0
406,407.0,1510.0,-1.0
407,408.0,1630.0,-1.0
408,409.0,1137.0,-1.0
409,410.0,1207.0,-1.0
410,411.0,1187.0,-1.0
411,412.0,1222.0,-1.0
412,413.0,1174.0,-1.0
413,414.0,1513.0,-1.0
414,415.0,1405.0,-1.0
415,416.0,1289.0,-1.0
416,417.0,1222.0,-1.0
417,418.0,1120.0,-1.0
418,419.0,1419.0,-1.0
419,420.0,1144.0,-1.0
420,421.0,1214.0,-1.0
421,422.0,1200.0,-1.0
422,423.0,1298.0,-1.0
423,424.0,1147.0,-1.0
424,425.0,1263.0,1.0
425,426.0,1192.0,-1.0
426,427.0,1231.0,-1.0
427,428.0,1457.0,-1.0
428,429.0,1160.0,-1.0
429,430.0,1702.0,-1.0
430,431.0,1723.0,1.0
431,432.0,1264.0,-1.0
432,433.0,1196.0,-1.0
433,434.0,1895.0,-1.0
434,435.0,1199.0,1.0
435,436.0,1185.0,-1.0
436,437.0,1290.0,-1.0
437,438.0,1194.0,-1.0
438,439.0,1269.0,-1.0
439,440.0,1151.0,-1.0
440,441.0,1486.0,-1.0
441,442.0,1244.0,-1.0
442,443.0,1152.0,-1.0
443,444.0,1241.0,1.0
444,445.0,2297.0,-1.0
445,446.0,1218.0,-1.0
446,447.0,1241.0,-1.0
447,448.0,1170.0,-1.0
448,449.0,1306.0,-1.0
449,450.0,1337.0,-1.0
450,451.0,1209.0,-1.0
451,452.0,2801.0,-1.0
452,453.0,1230.0,1.0
453,454.0,1273.0,-1.0
454,455.0,1577.0,-1.0
455,456.0,1967.0,-1.0
456,457.0,1225.0,-1.0
457,458.0,1161.0,-1.0
458,459.0,1245.0,1.0
459,460.0,1241.0,-1.0
460,461.0,1220.0,-1.0
461,462.0,1747.0,-1.0
462,463.0,2539.0,-1.0
463,464.0,1465.0,1.0
464,465.0,1218.0,-1.0
465,466.0,1674.0,-1.0
466,467.0,1245.0,-1.0
467,468.0,2303.0,-1.0
468,469.0,1195.0,-1.0
469,470.0,1196.0,-1.0
470,471.0,1265.0,-1.0
471,472.0,3594.0,1.0
472,473.0,1271.0,-1.0
473,474.0,1765.0,-1.0
474,475.0,1195.0,-1.0
475,476.0,1210.0,-1.0
476,477.0,1209.0,-1.0
477,478.0,1327.0,-1.0
478,479.0,1236.0,-1.0
479,480.0,1275.0,-1.0
480,481.0,1291.0,-1.0
481,482.0,2361.0,-1.0
482,483.0,1709.0,-1.0
483,484.0,1526.0,1.0
484,485.0,1349.0,-1.0
485,486.0,1295.0,-1.0
486,487.0,2023.0,-1.0
487,488.0,2574.0,-1.0
488,489.0,1199.0,-1.0
489,490.0,1283.0,-1.0
490,491.0,1205.0,-1.0
491,492.0,1413.0,-1.0
492,493.0,1220.0,-1.0
493,494.0,1258.0,-1.0
494,495.0,1194.0,-1.0
495,496.0,1233.0,-1.0
496,497.0,1235.0,-1.0
497,498.0,1347.0,-1.0
498,499.0,1296.0,-1.0
499,500.0,1327.0,-1.0
500,501.0,1310.0,-1.0
501,502.0,1935.0,-1.0
502,503.0,1363.0,-1.0
503,504.0,1604.0,-1.0
504,505.0,1178.0,-1.0
505,506.0,1408.0,1.0
506,507.0,1404.0,-1.0
507,508.0,1314.0,-1.0
508,509.0,2058.0,-1.0
509,510.0,1237.0,-1.0
510,511.0,1331.0,-1.0
511,512.0,1738.0,-1.0
512,513.0,1371.0,-1.0
513,514.0,1280.0,-1.0
514,515.0,1302.0,-1.0
515,516.0,1222.0,-1.0
516,517.0,1238.0,-1.0
517,518.0,1395.0,-1.0
518,519.0,1359.0,-1.0
519,520.0,1405.0,-1.0
520,521.0,1253.0,-1.0
521,522.0,1559.0,-1.0
522,523.0,1212.0,-1.0
523,524.0,1315.0,-1.0
524,525.0,1245.0,-1.0
525,526.0,1506.0,-1.0
526,527.0,1281.0,-1.0
527,528.0,1297.0,-1.0
528,529.0,1244.0,-1.0
529,530.0,1995.0,-1.0
530,531.0,1291.0,-1.0
531,532.0,1307.0,-1.0
532,533.0,1357.0,-1.0
533,534.0,1361.0,-1.0
534,535.0,1380.0,-1.0
535,536.0,1663.0,-1.0
536,537.0,1259.0,-1.0
537,538.0,1279.0,-1.0
538,539.0,1572.0,-1.0
539,540.0,1553.0,1.0
540,541.0,1463.0,-1.0
541,542.0,1306.0,-1.0
542,543.0,1329.0,1.0
543,544.0,1267.0,-1.0
544,545.0,1349.0,-1.0
545,546.0,1427.0,-1.0
546,547.0,1332.0,-1.0
547,548.0,1963.0,-1.0
548,549.0,1281.0,1.0
549,550.0,1428.0,-1.0
550,551.0,1264.0,-1.0
551,552.0,1325.0,-1.0
552,553.0,1321.0,-1.0
553,554.0,1335.0,-1.0
554,555.0,1297.0,-1.0
555,556.0,1277.0,-1.0
556,557.0,1318.0,-1.0
557,558.0,1300.0,-1.0
558,559.0,1326.0,-1.0
559,560.0,1945.0,1.0
560,561.0,1295.0,-1.0
561,562.0,1626.0,-1.0
562,563.0,1438.0,-1.0
563,564.0,1412.0,-1.0
564,565.0,1354.0,-1.0
565,566.0,1652.0,1.0
566,567.0,1353.0,-1.0
567,568.0,1493.0,-1.0
568,569.0,1500.0,-1.0
569,570.0,1363.0,-1.0
570,571.0,1559.0,-1.0
571,572.0,1329.0,-1.0
572,573.0,1309.0,1.0
573,574.0,1264.0,-1.0
574,575.0,1294.0,-1.0
575,576.0,1322.0,-1.0
576,577.0,1652.0,-1.0
577,578.0,1543.0,-1.0
578,579.0,1316.0,-1.0
579,580.0,1413.0,-1.0
580,581.0,2008.0,-1.0
581,582.0,1341.0,-1.0
582,583.0,1321.0,-1.0
583,584.0,1428.0,-1.0
584,585.0,1678.0,-1.0
585,586.0,1433.0,-1.0
586,587.0,1336.0,-1.0
587,588.0,1520.0,-1.0
588,589.0,1382.0,-1.0
589,590.0,1376.0,-1.0
590,591.0,1335.0,1.0
591,592.0,1379.0,-1.0
592,593.0,1386.0,-1.0
593,594.0,1556.0,-1.0
594,595.0,1383.0,-1.0
595,596.0,1323.0,-1.0
596,597.0,1533.0,-1.0
597,598.0,1304.0,-1.0
598,599.0,1312.0,-1.0
599,600.0,1373.0,-1.0
600,601.0,1420.0,-1.0
601,602.0,1369.0,-1.0
602,603.0,1321.0,-1.0
603,604.0,1341.0,-1.0
604,605.0,2764.0,-1.0
605,606.0,1291.0,-1.0
606,607.0,1363.0,-1.0
607,608.0,1400.0,-1.0
608,609.0,1512.0,-1.0
609,610.0,1357.0,-1.0
610,611.0,1342.0,1.0
611,612.0,1553.0,-1.0
612,613.0,1367.0,-1.0
613,614.0,1403.0,-1.0
614,615.0,1472.0,-1.0
615,616.0,1329.0,-1.0
616,617.0,1477.0,-1.0
617,618.0,1391.0,-1.0
618,619.0,1448.0,-1.0
619,620.0,1415.0,1.0
620,621.0,1361.0,-1.0
621,622.0,1722.0,-1.0
622,623.0,1380.0,-1.0
623,624.0,1367.0,-1.0
624,625.0,1361.0,-1.0
625,626.0,1331.0,-1.0
626,627.0,1344.0,-1.0
627,628.0,1388.0,-1.0
628,629.0,1865.0,-1.0
629,630.0,1499.0,-1.0
630,631.0,1396.0,-1.0
631,632.0,1359.0,-1.0
632,633.0,1400.0,-1.0
633,634.0,2697.0,-1.0
634,635.0,1376.0,-1.0
635,636.0,1391.0,-1.0
636,637.0,1412.0,-1.0
637,638.0,2415.0,-1.0
638,639.0,2384.0,-1.0
639,640.0,1366.0,-1.0
640,641.0,1398.0,-1.0
641,642.0,1405.0,-1.0
642,643.0,1503.0,-1.0
643,644.0,1569.0,-1.0
644,645.0,1386.0,-1.0
645,646.0,1431.0,-1.0
646,647.0,2047.0,-1.0
647,648.0,1445.0,-1.0
648,649.0,1527.0,-1.0
649,650.0,1426.0,-1.0
650,651.0,1398.0,-1.0
651,652.0,1359.0,-1.0
652,653.0,1391.0,-1.0
653,654.0,1429.0,-1.0
654,655.0,1437.0,-1.0
655,656.0,1396.0,-1.0
656,657.0,1531.0,-1.0
657,658.0,1425.0,-1.0
658,659.0,1699.0,-1.0
659,660.0,1474.0,-1.0
660,661.0,1429.0,-1.0
661,662.0,1394.0,-1.0
662,663.0,1567.0,-1.0
663,664.0,1707.0,-1.0
664,665.0,1428.0,-1.0
665,666.0,1372.0,-1.0
666,667.0,1573.0,-1.0
667,668.0,1456.0,-1.0
668,669.0,1454.0,-1.0
669,670.0,1490.0,-1.0
670,671.0,1767.0,-1.0
671,672.0,1518.0,1.0
672,673.0,1371.0,-1.0
673,674.0,1389.0,1.0
674,675.0,1381.0,-1.0
675,676.0,3907.0,1.0
676,677.0,1476.0,-1.0
677,678.0,1427.0,-1.0
678,679.0,1481.0,-1.0
679,680.0,1421.0,-1.0
680,681.0,1929.0,-1.0
681,682.0,1936.0,-1.0
682,683.0,1371.0,-1.0
683,684.0,1561.0,-1.0
684,685.0,1454.0,-1.0
685,686.0,1486.0,-1.0
686,687.0,1449.0,-1.0
687,688.0,2197.0,-1.0
688,689.0,1435.0,-1.0
689,690.0,1428.0,-1.0
690,691.0,1440.0,-1.0
691,692.0,1486.0,-1.0
692,693.0,1537.0,-1.0
693,694.0,1559.0,-1.0
694,695.0,1644.0,-1.0
695,696.0,1442.0,-1.0
696,697.0,1925.0,-1.0
697,698.0,1597.0,-1.0
698,699.0,1447.0,-1.0
699,700.0,2066.0,-1.0
700,701.0,1465.0,-1.0
701,702.0,1462.0,-1.0
702,703.0,1492.0,-1.0
703,704.0,1614.0,-1.0
704,705.0,1412.0,-1.0
705,706.0,1501.0,-1.0
706,707.0,1384.0,-1.0
707,708.0,1578.0,-1.0
708,709.0,1687.0,-1.0
709,710.0,1717.0,-1.0
710,711.0,1495.0,-1.0
711,712.0,1448.0,-1.0
712,713.0,1423.0,-1.0
713,714.0,1446.0,-1.0
714,715.0,1488.0,1.0
715,716.0,1686.0,1.0
716,717.0,1444.0,-1.0
717,718.0,1521.0,-1.0
718,719.0,1632.0,-1.0
719,720.0,1493.0,-1.0
720,721.0,1510.0,-1.0
721,722.0,1526.0,-1.0
722,723.0,1519.0,-1.0
723,724.0,1481.0,1.0
724,725.0,1476.0,-1.0
725,726.0,1470.0,1.0
726,727.0,1467.0,-1.0
727,728.0,1490.0,1.0
728,729.0,2612.0,-1.0
729,730.0,1547.0,-1.0
730,731.0,1511.0,-1.0
731,732.0,1499.0,-1.0
732,733.0,1463.0,-1.0
733,734.0,1560.0,-1.0
734,735.0,1494.0,-1.0
735,736.0,1535.0,-1.0
736,737.0,1522.0,-1.0
737,738.0,1599.0,-1.0
738,739.0,1585.0,1.0
739,740.0,1574.0,-1.0
740,741.0,1889.0,-1.0
741,742.0,1454.0,-1.0
742,743.0,1551.0,-1.0
743,744.0,2422.0,-1.0
744,745.0,1586.0,1.0
745,746.0,1506.0,-1.0
746,747.0,1676.0,-1.0
747,748.0,1745.0,-1.0
748,749.0,1637.0,-1.0
749,750.0,1570.0,-1.0
750,751.0,2030.0,-1.0
751,752.0,1459.0,-1.0
752,753.0,1585.0,-1.0
753,754.0,1568.0,-1.0
754,755.0,1615.0,-1.0
755,756.0,1617.0,-1.0
756,757.0,1528.0,-1.0
757,758.0,1493.0,-1.0
758,759.0,1494.0,-1.0
759,760.0,1509.0,-1.0
760,761.0,1802.0,-1.0
761,762.0,1476.0,-1.0
762,763.0,2487.0,-1.0
763,764.0,1639.0,-1.0
764,765.0,2498.0,-1.0
765,766.0,1487.0,-1.0
766,767.0,1781.0,-1.0
767,768.0,1560.0,-1.0
768,769.0,1560.0,-1.0
769,770.0,1495.0,-1.0
770,771.0,1577.0,-1.0
771,772.0,5086.0,1.0
772,773.0,1564.0,-1.0
773,774.0,1625.0,-1.0
774,775.0,6836.0,1.0
775,776.0,1433.0,-1.0
776,777.0,1578.0,-1.0
777,778.0,1540.0,-1.0
778,779.0,1528.0,-1.0
779,780.0,1758.0,-1.0
780,781.0,1539.0,-1.0
781,782.0,1502.0,-1.0
782,783.0,1529.0,-1.0
783,784.0,1548.0,-1.0
784,785.0,1941.0,1.0
785,786.0,1568.0,-1.0
786,787.0,1574.0,-1.0
787,788.0,1514.0,-1.0
788,789.0,1652.0,-1.0
789,790.0,1508.0,-1.0
790,791.0,1563.0,-1.0
791,792.0,1593.0,1.0
792,793.0,1490.0,-1.0
793,794.0,1551.0,-1.0
794,795.0,1571.0,-1.0
795,796.0,1478.0,-1.0
796,797.0,1545.0,-1.0
797,798.0,1999.0,-1.0
798,799.0,1582.0,-1.0
799,800.0,1560.0,1.0
